المركز,اسم اللاعب,الاسم بالإنجليزية (لجلب الصورة),المنتخب,المنتخب بالإنجليزي,عدد الأهداف,رابط صورة اللاعب
1,كيليان مبابي,Kylian Mbappé,فرنسا,France,10,https://i.postimg.cc/jqvgNGTc/Kylian-Mbappe.jpg
2,ليونيل ميسي,Lionel Messi,الأرجنتين,Argentina,8,https://i.postimg.cc/tRDSPLbD/Lionel-Messi.jpg
3,جود بيلينجهام,Jude Bellingham,إنجلترا,England,7,https://i.postimg.cc/9X18Tv2B/Jude-Bellingham.jpg
4,إرلينج هالاند,Erling Haaland,النرويج,Norway,7,https://i.postimg.cc/zBrtSNVV/Erling-Haaland.jpg
5,عثمان ديمبيلي,Ousmane Dembélé,فرنسا,France,6,https://i.postimg.cc/mZVXM04d/Ousmane-Dembele.jpg
6,هاري كين,Harry Kane,إنجلترا,England,6,https://i.postimg.cc/90XLKBdx/Harry-Kane.jpg
7,ميكيل أويارزابال,Mikel Oyarzabal,إسبانيا,Spain,5,https://i.postimg.cc/05ZWmLvc/Mikel-Oyarzabal.jpg
8,إسمايلا سار,Ismaïla Sarr,السنغال,Senegal,4,https://i.postimg.cc/SQVT8w4f/Ismaila-Sarr.jpg
9,فينيسيوس جونيور,Vinícius Júnior,البرازيل,Brazil,4,https://i.postimg.cc/qBQbn9rb/Vinicius-Junior.jpg
10,خوليان كينيونيس,Julián Quiñones,المكسيك,Mexico,4,https://i.postimg.cc/FFGWc2vZ/Julian-Quinones.jpg
