رقم_المباراة,اللاعب,الفريق_المستفيد,الدقيقة,هدف_عكسي
1,كينيونيس,المكسيك,9',False
1,خيمينيز,المكسيك,67',False
2,بيوم,كوريا الجنوبية,67',False
2,هيون جيو,كوريا الجنوبية,80',False
2,كريتشي,التشيك,59',False
3,سادلييك,التشيك,6',False
3,موكوينا,جنوب إفريقيا,83',False
4,رومو,المكسيك,50',False
5,م. شافييز,المكسيك,55',False
5,كينيونيس,المكسيك,61',False
5,فيدالغو,المكسيك,90+4',False
6,ماسيكو,جنوب إفريقيا,63',False
7,لارين,كندا,78',False
7,لوكيتش,البوسنة والهرسك,21',False
8,موهايم,قطر,4+90',True
8,إمبولو,سويسرا,17',False
9,مانزامبي,سويسرا,74',False
9,مانزامبي,سويسرا,90',False
9,فارغاس,سويسرا,84',False
9,تشاكا,سويسرا,7+90',False
9,محميتش,البوسنة والهرسك,90+3',False
10,لارين,كندا,16',False
10,ج. ديفيد,كندا,29',False
10,ج. ديفيد,كندا,3+45',False
10,ج. ديفيد,كندا,2+90',False
10,صليبا,كندا,64',False
10,المناعي,كندا,75',True
11,فارغاس,سويسرا,46',False
11,مانزامبي,سويسرا,57',False
11,ب. ديفيد,كندا,76',False
12,ألايبغوفيتش,البوسنة والهرسك,29',False
12,أبو ندى,البوسنة والهرسك,34',True
12,محميتش,البوسنة والهرسك,80',False
12,الهيدوس,قطر,42',False
13,جونيور,البرازيل,32',False
13,صيباري,المغرب,21',False
14,مكجين,إسكتلندا,28',False
15,صيباري,المغرب,2',False
16,كونيا,البرازيل,23',False
16,كونيا,البرازيل,36',False
16,جونيور,البرازيل,3+45',False
17,جونيور,البرازيل,7',False
17,جونيور,البرازيل,3+45',False
17,كونيا,البرازيل,60',False
18,حكيمي,المغرب,39',False
18,صيباري,المغرب,1+45',False
18,رحيمي,المغرب,78',False
18,جسيم,المغرب,89',False
18,بونو,هايتي,10',True
18,إيسيدور,هايتي,43',False
19,بوباديلا,الولايات المتحدة,7',True
19,بالوغون,الولايات المتحدة,31',False
19,بالوغون,الولايات المتحدة,5+45',False
19,رينا,الولايات المتحدة,8+90',False
19,ماوريسيو,باراغواي,73',False
20,إرانكوندا,أستراليا,27',False
20,ميتكالف,أستراليا,75',False
21,بورغس,الولايات المتحدة,11',True
21,فريمان,الولايات المتحدة,43',False
22,غلارزا,باراغواي,2',False
23,غولر,تركيا,10',False
23,يلماز,تركيا,31',False
23,آيخان,تركيا,8+90',False
23,تروستي,الولايات المتحدة,3',False
23,برهالتر,الولايات المتحدة,49',False
25,نميتشا,ألمانيا,6',False
25,شلوتربيك,ألمانيا,38',False
25,هافيرتس,ألمانيا,5+45',False
25,هافيرتس,ألمانيا,88',False
25,موسيالا,ألمانيا,47',False
25,براون,ألمانيا,68',False
25,أونداف,ألمانيا,78',False
25,كومينينسيا,كوراساو,21',False
26,ديالو,ساحل العاج,90',False
27,أونداف,ألمانيا,68',False
27,أونداف,ألمانيا,4+90',False
27,كيسي,ساحل العاج,30',False
29,بيبي,ساحل العاج,7',False
29,بيبي,ساحل العاج,64',False
30,أنغولو,الإكوادور,9',False
30,بلاتا,الإكوادور,77',False
30,ساني,ألمانيا,2',False
31,فان دايك,هولندا,51',False
31,سامرفيل,هولندا,64',False
31,ناكامورا,اليابان,57',False
31,أوغاوا,اليابان,88',False
32,عياري,السويد,7',False
32,عياري,السويد,6+90',False
32,إيساك,السويد,30',False
32,غيوكيريس,السويد,59',False
32,سفانبرغ,السويد,84',False
32,الرقيق,تونس,43',False
33,بروبي,هولندا,5',False
33,بروبي,هولندا,17',False
33,خاكبو,هولندا,47',False
33,خاكبو,هولندا,54',False
33,سامرفيل,هولندا,89',False
33,إيلانغا,السويد,59',False
34,كامادا,اليابان,4',False
34,أويدا,اليابان,31',False
34,أويدا,اليابان,83',False
34,ج. إيتو,اليابان,69',False
35,مايدا,اليابان,56',False
35,إيلانغا,السويد,62',False
36,المستوري,تونس,54',False
36,الصخيري,هولندا,3',True
36,بروبي,هولندا,7',False
36,فان هيكي,هولندا,62',False
37,هاني,بلجيكا,66',True
37,عاشور,مصر,19',False
38,رضائيان,إيران,32',False
38,محبي,إيران,64',False
38,جاست,نيوزيلندا,7',False
38,جاست,نيوزيلندا,54',False
40,سورمان,نيوزيلندا,15',False
40,زيكو,مصر,58',False
40,صلاح,مصر,67',False
40,تريزيجيه,مصر,82',False
41,صابر,مصر,5',False
41,رضائيان,إيران,14',False
42,جاست,نيوزيلندا,84',False
42,تروسار,بلجيكا,28',False
42,تروسار,بلجيكا,50',False
42,دي بروين,بلجيكا,66',False
42,لوكاكو,بلجيكا,86',False
42,سايليمايكرس,بلجيكا,4+90',False
44,العمري,السعودية,41',False
44,أراوخو,أوروغواي,80',False
45,يامال,إسبانيا,10',False
45,أويارزابال,إسبانيا,21',False
45,أويارزابال,إسبانيا,24',False
45,تمبكتي,إسبانيا,49',True
46,م. أراوخو,أوروغواي,44',False
46,كانوبيو,أوروغواي,6+45',False
46,ك. بينا,الرأس الأخضر,21',False
46,فاريلا,الرأس الأخضر,61',False
48,باينا,إسبانيا,42',False
49,مبابي,فرنسا,66',False
49,مبابي,فرنسا,6+90',False
49,باركولا,فرنسا,82',False
49,مباي,السنغال,5+90',False
50,حسين,العراق,39',False
50,هالاند,النرويج,29',False
50,هالاند,النرويج,43',False
50,أوستيغارد,النرويج,76',False
50,حسين,النرويج,6+90',True
51,مبابي,فرنسا,14',False
51,مبابي,فرنسا,54',False
51,ديمبيلي,فرنسا,66',False
52,بيدرسون,النرويج,43',False
52,هالاند,النرويج,48',False
52,هالاند,النرويج,58',False
52,سار,السنغال,53',False
52,سار,السنغال,3+90',False
53,أسغارد,النرويج,21',False
53,ديمبيلي,فرنسا,7',False
53,ديمبيلي,فرنسا,20',False
53,ديمبيلي,فرنسا,32',False
53,دوي,فرنسا,4+90',False
54,ديارا,السنغال,4',False
54,سار,السنغال,56',False
54,غايي,السنغال,59',False
54,غايي,السنغال,71',False
54,نداي,السنغال,82',False
55,ميسي,الأرجنتين,17',False
