رقم_المباراة,التاريخ,الوقت,الدور,الفريق1,النتيجة,الفريق2,الملعب,المدينة,الحضور,الحكم,بلد_الحكم,هدافي_الفريق1,هدافي_الفريق2,ركلات_ترجيح_الفريق1,نتيجة_الركلات,ركلات_ترجيح_الفريق2
1,2026-06-11,1:00,دور المجموعات,المكسيك,2–0,جنوب إفريقيا,أزتيكا,مدينة مكسيكو,80824,ويلتون سامبايو,البرازيل,كينيونيس 9' خيمينيز 67',لا يوجد,لا يوجد,لا يوجد,لا يوجد
2,2026-06-11,8:00,دور المجموعات,كوريا الجنوبية,2–1,التشيك,أكرون,سابوبان,44985,أمين عمر,مصر,بيوم 67' هيون جيو 80',كريتشي 59',لا يوجد,لا يوجد,لا يوجد
3,2026-06-18,12:00,دور المجموعات,التشيك,1–1,جنوب إفريقيا,مرسيدس-بنز,أتلانتا,67442,توري بينسو,الولايات المتحدة,سادلييك 6',موكوينا 83' (ر.ج.),لا يوجد,لا يوجد,لا يوجد
4,2026-06-18,7:00,دور المجموعات,المكسيك,1–0,كوريا الجنوبية,أكرون,سابوبان,45522,غوستافو تيجيرا,أوروغواي,رومو 50',لا يوجد,لا يوجد,لا يوجد,لا يوجد
5,2026-06-24,7:00,دور المجموعات,التشيك,0–3,المكسيك,أزتيكا,مدينة مكسيكو,80824,يائيل فالكون,الأرجنتين,لا يوجد,م. شافييز 55' كينيونيس 61' فيدالغو 90+4',لا يوجد,لا يوجد,لا يوجد
6,2026-06-24,7:00,دور المجموعات,جنوب إفريقيا,1–0,كوريا الجنوبية,بي بي في إيه,غوادالوبي,51243,فاكوندو تيلو,الأرجنتين,ماسيكو 63',لا يوجد,لا يوجد,لا يوجد,لا يوجد
7,2026-06-12,3:00,دور المجموعات,كندا,1–1,البوسنة والهرسك,بي إم أو فيلد,تورونتو,43002,فاكوندو تيلو,الأرجنتين,لارين 78',لوكيتش 21',لا يوجد,لا يوجد,لا يوجد
8,2026-06-13,12:00,دور المجموعات,قطر,1–1,سويسرا,ليفاي,سانتا كلارا,67966,سعيد مارتينيز,هندوراس,موهايم 4+90' (هـ.ذ.),إمبولو 17' (ر.ج.),لا يوجد,لا يوجد,لا يوجد
9,2026-06-18,12:00,دور المجموعات,سويسرا,4–1,البوسنة والهرسك,سوفاي,إنغلوود,70026,جواو بينهيرو,البرتغال,مانزامبي 74'، 90' فارغاس 84' تشاكا 7+90' (ر.ج.),محميتش 90+3',لا يوجد,لا يوجد,لا يوجد
10,2026-06-18,3:00,دور المجموعات,كندا,6–0,قطر,بي سي بليس,فانكوفر,52497,كريستيان غاراي,تشيلي,لارين 16' ج. ديفيد 29'، 3+45'، 2+90' صليبا 64' المناعي 75' (هـ.ذ.),لا يوجد,لا يوجد,لا يوجد,لا يوجد
11,2026-06-24,12:00,دور المجموعات,سويسرا,2–1,كندا,بي سي بليس,فانكوفر,52497,رامون أباتي,البرازيل,فارغاس 46' مانزامبي 57',ب. ديفيد 76',لا يوجد,لا يوجد,لا يوجد
12,2026-06-24,12:00,دور المجموعات,البوسنة والهرسك,3–1,قطر,لومن فيلد,سياتل,66925,خيسوس فالنزويلا,فنزويلا,ألايبغوفيتش 29' أبو ندى 34' (هـ.ذ.) محميتش 80',الهيدوس 42',لا يوجد,لا يوجد,لا يوجد
13,2026-06-13,6:00,دور المجموعات,البرازيل,1–1,المغرب,ميتلايف,شرق راذرفورد,80663,سلافكو فينتشيتش,سلوفينيا,جونيور 32',صيباري 21',لا يوجد,لا يوجد,لا يوجد
14,2026-06-13,9:00,دور المجموعات,هايتي,0–1,إسكتلندا,جيليت,فوكسبورو,64146,مصطفى غربال,الجزائر,لا يوجد,مكجين 28',لا يوجد,لا يوجد,لا يوجد
15,2026-06-19,6:00,دور المجموعات,إسكتلندا,0–1,المغرب,جيليت,فوكسبورو,64146,إلجيز تانتاشيف,أوزبكستان,لا يوجد,صيباري 2',لا يوجد,لا يوجد,لا يوجد
16,2026-06-19,8:30,دور المجموعات,البرازيل,3–0,هايتي,لينكون فاينانشال فيلد,فيلادلفيا,68324,أليخاندرو هرنانديز هرنانديز,إسبانيا,كونيا 23'، 36' جونيور 3+45',لا يوجد,لا يوجد,لا يوجد,لا يوجد
17,2026-06-24,6:00,دور المجموعات,إسكتلندا,0–3,البرازيل,هارد روك,ميامي غاردنز,64478,سيزار أرتورو راموس,المكسيك,لا يوجد,جونيور 7'، 3+45' كونيا 60',لا يوجد,لا يوجد,لا يوجد
18,2026-06-24,6:00,دور المجموعات,المغرب,4–2,هايتي,مرسيدس-بنز,أتلانتا,68239,داني ماكيلي,هولندا,حكيمي 39' صيباري 1+45' رحيمي 78' جسيم 89',بونو 10' (هـ.ذ.) إيسيدور 43',لا يوجد,لا يوجد,لا يوجد
19,2026-06-12,6:00,دور المجموعات,الولايات المتحدة,4–1,باراغواي,سوفاي,إنغلوود,70492,داني ماكيلي,هولندا,بوباديلا 7' (هـ.ذ.) بالوغون 31'، 5+45' رينا 8+90',ماوريسيو 73',لا يوجد,لا يوجد,لا يوجد
20,2026-06-13,9:00,دور المجموعات,أستراليا,2–0,تركيا,بي سي بليس,فانكوفر,52497,خيسوس فالنزويلا,فنزويلا,إرانكوندا 27' ميتكالف 75',لا يوجد,لا يوجد,لا يوجد,لا يوجد
21,2026-06-19,12:00,دور المجموعات,الولايات المتحدة,2–0,أستراليا,لومن فيلد,سياتل,66925,فيليكس تسفاير,ألمانيا,بورغس 11' (هـ.ذ.) فريمان 43',لا يوجد,لا يوجد,لا يوجد,لا يوجد
22,2026-06-19,8:00,دور المجموعات,تركيا,0–1,باراغواي,ليفاي,سانتا كلارا,68827,إيفان بارتون,السلفادور,لا يوجد,غلارزا 2',لا يوجد,لا يوجد,لا يوجد
23,2026-06-25,7:00,دور المجموعات,تركيا,3–2,الولايات المتحدة,سوفاي,إنغلوود,70492,مصطفى غربال,الجزائر,غولر 10' يلماز 31' آيخان 8+90',تروستي 3' برهالتر 49',لا يوجد,لا يوجد,لا يوجد
24,2026-06-25,7:00,دور المجموعات,باراغواي,0–0,أستراليا,ليفاي,سانتا كلارا,68827,كليمان توربان,فرنسا,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد
25,2026-06-14,12:00,دور المجموعات,ألمانيا,7–1,كوراساو,إن آر جي,هيوستن,68021,جلال جيد,المغرب,نميتشا 6' شلوتربيك 38' هافيرتس 5+45' (ر.ج.)، 88' موسيالا 47' براون 68' أونداف 78',كومينينسيا 21',لا يوجد,لا يوجد,لا يوجد
26,2026-06-14,7:00,دور المجموعات,ساحل العاج,1–0,الإكوادور,لينكون فاينانشال فيلد,فيلادلفيا,68274,فرانسوا ليتكسير,فرنسا,ديالو 90',لا يوجد,لا يوجد,لا يوجد,لا يوجد
27,2026-06-20,4:00,دور المجموعات,ألمانيا,2–1,ساحل العاج,بي إم أو فيلد,تورونتو,43036,خوان غابرييل بينيتيز,باراغواي,أونداف 68'، 4+90',كيسي 30',لا يوجد,لا يوجد,لا يوجد
28,2026-06-20,7:00,دور المجموعات,الإكوادور,0–0,كوراساو,أروهيد,كانساس سيتي,68598,ما نينغ,الصين,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد
29,2026-06-25,4:00,دور المجموعات,كوراساو,0–2,ساحل العاج,لينكون فاينانشال فيلد,فيلادلفيا,68324,غلين نيبرغ,السويد,لا يوجد,بيبي 7'، 64',لا يوجد,لا يوجد,لا يوجد
30,2026-06-25,4:00,دور المجموعات,الإكوادور,2–1,ألمانيا,ميتلايف,شرق راذرفورد,80663,توري بينسو,الولايات المتحدة,أنغولو 9' بلاتا 77',ساني 2',لا يوجد,لا يوجد,لا يوجد
31,2026-06-14,3:00,دور المجموعات,هولندا,2–2,اليابان,إيه تي آند تي,أرلينغتون,69285,إسماعيل الفتح,الولايات المتحدة,فان دايك 51' سامرفيل 64',ناكامورا 57' أوغاوا 88',لا يوجد,لا يوجد,لا يوجد
32,2026-06-14,8:00,دور المجموعات,السويد,5–1,تونس,بي بي في إيه,غوادالوبي,50987,يائيل فالكون,الأرجنتين,عياري 7'، 6+90' إيساك 30' غيوكيريس 59' سفانبرغ 84',الرقيق 43',لا يوجد,لا يوجد,لا يوجد
