الترتيب,اسم اللاعب (عربي),اسم اللاعب (إنجليزي),عدد الأهداف,المنتخب (عربي),المنتخب (إنجليزي)
1,كيليان مبابي,Kylian Mbappé,10,فرنسا,France
2,ليونيل ميسي,Lionel Messi,8,الأرجنتين,Argentina
3,جود بيلينجهام,Jude Bellingham,7,إنجلترا,England
4,إرلينج هالاند,Erling Haaland,7,النرويج,Norway
5,عثمان ديمبيلي,Ousmane Dembélé,6,فرنسا,France
6,هاري كين,Harry Kane,6,إنجلترا,England
7,ميكيل أويارزابال,Mikel Oyarzabal,5,إسبانيا,Spain
8,فينيسيوس جونيور,Vinícius Júnior,4,البرازيل,Brazil
9,خوليان كينيونيس,Julián Quiñones,4,المكسيك,Mexico
10,إسمايلا سار,Ismaïla Sarr,4,السنغال,Senegal
11,إليجا جاست,Elijah Just,3,نيوزيلندا,New Zealand
12,جوناثان ديفيد,Jonathan David,3,كندا,Canada
13,إسماعيل صيباري,Ismael Saibari,3,المغرب,Morocco
14,بوكايو ساكا,Bukayo Saka,3,إنجلترا,England
15,كودي خاكبو,Cody Gakpo,3,هولندا,Netherlands
16,كريستيانو رونالدو,Cristiano Ronaldo,3,البرتغال,Portugal
17,راؤول خيمينيز,Raúl Jiménez,3,المكسيك,Mexico
18,تشارلز دي كاتيلايير,Charles De Ketelaere,3,بلجيكا,Belgium
19,براين بروبي,Brian Brobbey,3,هولندا,Netherlands
20,برادلي باركولا,Bradley Barcola,3,فرنسا,France
21,فولارين بالوغون,Folarin Balogun,3,الولايات المتحدة,United States
22,دنيز أونداف,Deniz Undav,3,ألمانيا,Germany
23,كاي هافيرتس,Kai Havertz,3,ألمانيا,Germany
24,يوهان مانزامبي,Johan Manzambi,3,سويسرا,Switzerland
25,روميلو لوكاكو,Romelu Lukaku,3,بلجيكا,Belgium
26,يوان ويسا,Yoane Wissa,3,جمهورية الكونغو الديمقراطية,DR Congo
27,ماتيوس كونيا,Matheus Cunha,3,البرازيل,Brazil
28,رضائيان,Rdaian,2,إيران,Iran
29,ديارا,Diara,2,السنغال,Senegal
30,زيكو,Ziku,2,مصر,Egypt
31,غايي,Ghai,2,السنغال,Senegal
32,سامرفيل,Samrfil,2,هولندا,Netherlands
33,فارغاس,Farghas,2,سويسرا,Switzerland
34,ديالو,Dialu,2,ساحل العاج,Ivory Coast
35,رحيمي,Rhimi,2,المغرب,Morocco
36,عياري,Aiari,2,السويد,Sweden
37,عاشور,Ashur,2,مصر,Egypt
38,فرنانديز,Frnandiz,2,الأرجنتين,Argentina
39,إيلانغا,Ilangha,2,السويد,Sweden
40,بورو,Buru,2,إسبانيا,Spain
41,بيبي,Bibi,2,ساحل العاج,Ivory Coast
42,تروسار,Trusar,2,بلجيكا,Belgium
43,أويدا,Auida,2,اليابان,Japan
44,أوناحي,Aunahi,2,المغرب,Morocco
45,تيليمانس,Tilimans,2,بلجيكا,Belgium
46,تيلمان,Tilman,2,الولايات المتحدة,United States
47,أرناوتوفيتش,Arnautufitsh,2,النمسا,Austria
48,إمبولو,Imbulu,2,سويسرا,Switzerland
49,محميتش,Mhmitsh,2,البوسنة والهرسك,Bosnia and Herzegovina
50,محرز,Mhrz,2,الجزائر,Algeria
51,لا. مارتينيز,La. Martiniz,2,الأرجنتين,Argentina
52,لارين,Larin,2,كندا,Canada
53,ميرينو,Mirinu,2,إسبانيا,Spain
54,مونيوث,Muniuth,2,كولومبيا,Colombia
55,ندوي,Ndui,2,سويسرا,Switzerland
56,توريس,Turis,1,إسبانيا,Spain
57,تشاكا,Tshaka,1,سويسرا,Switzerland
58,تريزيجيه,Trizijih,1,مصر,Egypt
59,بيوم,Bium,1,كوريا الجنوبية,South Korea
60,بوديمير,Budimir,1,كرواتيا,Croatia
61,تروستي,Trusti,1,الولايات المتحدة,United States
62,بيريشيتش,Birishitsh,1,كرواتيا,Croatia
63,بلغالي,Blghali,1,الجزائر,Algeria
64,بوعلي,Buali,1,الجزائر,Algeria
65,المستوري,Almsturi,1,تونس,Tunisia
66,باتورينا,Baturina,1,كرواتيا,Croatia
67,باينا,Baina,1,إسبانيا,Spain
68,براون,Braun,1,ألمانيا,Germany
69,برهالتر,Brhaltr,1,الولايات المتحدة,United States
70,بلاتا,Blata,1,الإكوادور,Ecuador
71,الرقيق,Alrqiq,1,تونس,Tunisia
72,الرشدان,Alrshdan,1,الأردن,Jordan
73,التعمري,Altamri,1,الأردن,Jordan
74,العمري,Alamri,1,السعودية,Saudi Arabia
75,الهيدوس,Alhidus,1,قطر,Qatar
76,ب. ديفيد,B. Difid,1,كندا,Canada
77,أوستيغارد,Austighard,1,النرويج,Norway
78,ألفاريز,Alfariz,1,الأرجنتين,Argentina
79,أوغاوا,Aughaua,1,اليابان,Japan
80,أنغولو,Anghulu,1,الإكوادور,Ecuador
81,إبراهيم,Ibrahim,1,مصر,Egypt
82,إ. سار,I. Sar,1,السنغال,Senegal
83,إرانكوندا,Irankunda,1,أستراليا,Australia
84,إنسيسكو,Insisku,1,باراغواي,Paraguay
85,إيساك,Isak,1,السويد,Sweden
86,إيسيدور,Isidur,1,هايتي,Haiti
87,آيخان,Aikhan,1,تركيا,Turkey
88,أراوخو,Araukhu,1,أوروغواي,Uruguay
89,أوستاكيو,Austakiu,1,كندا,Canada
90,آرياس,Arias,1,كولومبيا,Colombia
91,أسغارد,Asghard,1,النرويج,Norway
92,ألايبغوفيتش,Alaibghufitsh,1,البوسنة والهرسك,Bosnia and Herzegovina
93,بيدرسون,Bidrsun,1,النرويج,Norway
94,رايس,Rais,1,إنجلترا,England
95,سيبنغا,Sibngha,1,جمهورية الكونغو الديمقراطية,DR Congo
96,شلوتربيك,Shlutrbik,1,ألمانيا,Germany
97,سانو,Sanu,1,اليابان,Japan
