المدينة,الملعب,عدد المباريات,الطاقة الاستيعابية
مدينة مكسيكو,ملعب أزتيكا (ملعب مدينة مكسيكو),5,80824
نيويورك (شرق راذرفورد),ملعب ميتلايف (ملعب نيويورك نيوجيرسي),8,80663
دالاس (أرلينغتون),ملعب إيه تي آند تي (ملعب دالاس),9,70649
لوس أنجلوس (إنغلوود),ملعب سوفاي (ملعب لوس أنجلوس),8,70492
كانساس سيتي,ملعب أروهيد (ملعب كانساس سيتي),6,69045
سان فرانسيسكو (سانتا كلارا),ملعب ليفاي (ملعب منطقة خليج سان فرانسيسكو),6,68827
هيوستن,ملعب إن آر جي (ملعب هيوستن),7,68777
فيلادلفيا,ملعب لينكون فاينانشال فيلد (ملعب فيلادلفيا),6,68324
أتلانتا,ملعب مرسيدس-بنز (ملعب أتلانتا),8,68239
سياتل,لومن فيلد (ملعب سياتل),6,66925
ميامي (ميامي غاردنز),ملعب هارد روك (ملعب ميامي),7,64478
بوسطن (فوكسبورو),ملعب جيليت (ملعب بوسطن),7,64146
فانكوفر,ملعب بي سي بليس (بي سي بليس فانكوفر),7,52497
مونتيري (غوادالوبي),ملعب بي بي في إيه (ملعب مونتيري),4,51243
غوادالاخارا (سابوبان),ملعب أكرون (ملعب غوادالاخارا),4,45664
تورونتو,ملعب بي إم أو فيلد (ملعب تورونتو),6,43036
